i,j,polygram_overlap,decoder_overlap,jaccard,pearson_activation,n_fires_i,n_fires_j,n_both_fire,n_either_fire,kl_ablate_i_on_both_fire,kl_ablate_j_on_both_fire,kl_ratio_i_over_j,kl_log_ratio_abs
12999,19398,0.9938535241294034,0.3638543916284368,0.5071633237822349,0.9893102225052601,311,215,177,349,0.2364765703678131,0.1292523294687271,1.8295729859555772,0.6040825986171995
12999,4192,0.9765512716393016,0.2648066464557888,0.15434083601286175,0.9893377646829044,311,48,48,311,0.8334141373634338,1.1288305521011353,0.7382987072879702,0.30340678384910647
12999,23625,0.9771213393848567,0.264359217269104,0.1492063492063492,0.9890778490596143,311,51,47,315,0.8492777943611145,2.1421549320220947,0.3964595565267708,0.9251812443032262
12999,8371,0.5293284773041288,0.00019588406224306954,0.03858520900321544,0.9887690900232255,311,12,12,311,3.245310068130493,1.741266131401062,1.863764538691879,0.6225983878400293
12999,2287,0.6115576822630509,0.0009675338991924861,0.04180064308681672,0.9888031356192512,311,13,13,311,2.997533082962036,1.5010359287261963,1.9969762386072876,0.6916341558187175
12999,68,0.5181996012124407,0.002905433532130621,0.03858520900321544,0.9888340591058608,311,12,12,311,3.245310068130493,0.8598642349243164,3.774212179456608,1.3281916667376468
12999,13737,0.4423684823088031,0.007961884113764736,0.03858520900321544,0.9333618074546516,311,12,12,311,3.245310068130493,0.000295612815534696,10978.245521123532,9.303670913691548
19398,4192,0.9943474233527727,0.3727697236996474,0.18468468468468469,0.9890905238406584,215,48,41,222,0.5457502007484436,1.3169208765029907,0.41441381216284806,0.8808902580835096
19398,23625,0.9946279992756936,0.41356097753893917,0.20909090909090908,0.9906839645247505,215,51,46,220,0.4850895404815674,2.1888201236724854,0.22162147324726975,1.5067844278682678
19398,8371,0.5833656425025502,3.2016565884248207e-06,0.05581395348837209,0.9891483691201124,215,12,12,215,1.8289031982421875,1.741266131401062,1.0503295075122208,0.049103931617582926
19398,2287,0.657455238152462,0.0022419423002749375,0.05555555555555555,0.989180138868313,215,13,12,216,1.8289031982421875,1.6243972778320312,1.1258964929337334,0.11857960092177974
19398,68,0.5730452787362943,0.022109354377346235,0.05581395348837209,0.9891681140724243,215,12,12,215,1.8289031982421875,0.8598642349243164,2.126967402479723,0.7546972105152004
19398,13737,0.5011878067916116,0.009794167333083803,0.05581395348837209,0.9342817193627949,215,12,12,215,1.8289031982421875,0.000295612815534696,6186.8197254375455,8.730176457469103
4192,23625,0.99999640930103,0.5175322846096144,0.47761194029850745,0.9978009054299554,48,51,32,67,1.683467149734497,3.143784999847412,0.5354905471640734,0.6245720416048097
4192,8371,0.6306192835548424,0.0007673377248281504,0.25,0.9984769285271622,48,12,12,48,4.473555088043213,1.741266131401062,2.5691392070227024,0.9435709039008942
4192,2287,0.6951899747133852,0.0001417177033873225,0.24489795918367346,0.9985513375331007,48,13,12,49,4.473555088043213,1.6243972778320312,2.753978444247181,1.013046573205091
4192,68,0.6213128279290292,0.02140040228601693,0.25,0.9986090771120778,48,12,12,48,4.473555088043213,0.8598642349243164,5.202629562138919,1.6491641827985115
4192,13737,0.5549266330164561,0.008915102376240271,0.25,0.9415889816764567,48,12,12,48,4.473555088043213,0.000295612815534696,15133.15679481478,9.624643429752414
23625,8371,0.6294933319512716,9.669086204155568e-08,0.23529411764705882,0.9985813875121891,51,12,12,51,8.3724365234375,1.741266131401062,4.808246351579152,1.570332433769534
23625,2287,0.694322603127377,0.007183810527390647,0.23076923076923078,0.9985915374096057,51,13,12,52,8.3724365234375,1.6243972778320312,5.154180345962905,1.6398081030737306
23625,68,0.6201586570830622,0.029284643263892008,0.23529411764705882,0.9984645795723345,51,12,12,51,8.3724365234375,0.8598642349243164,9.73692843984193,2.275925712667151
23625,13737,0.5536156814468857,0.011767057512668237,0.23529411764705882,0.9421675319126944,51,12,12,51,8.3724365234375,0.000295612815534696,28322.305676408774,10.251404959621054
8371,2287,0.9850936627377108,0.0003492992990451515,0.9230769230769231,0.9999243834726464,12,13,12,13,1.741266131401062,1.6243972778320312,1.071945979695932,0.06947566930419677
8371,68,0.9997600589853032,0.013395825601225144,1.0,0.9998264277315283,12,12,12,12,1.741266131401062,0.8598642349243164,2.0250477466995993,0.7055932788976174
8371,13737,0.9862993558812101,0.00014951981223548016,1.0,0.9446327545828735,12,12,12,12,1.741266131401062,0.000295612815534696,5890.3607688709635,8.68107252585152
2287,68,0.9811072198969361,0.0010907542971630828,0.9230769230769231,0.9998972060077366,13,12,12,13,1.6243972778320312,0.8598642349243164,1.889132274439822,0.6361176095934206
2287,13737,0.9436287308132703,0.00015942236096939095,0.9230769230769231,0.9427414405397724,13,12,12,13,1.6243972778320312,0.000295612815534696,5495.0164284788125,8.611596856547322
68,13737,0.9896668393065908,0.002052552257551269,1.0,0.94396304713994,12,12,12,12,0.8598642349243164,0.000295612815534696,2908.751548436825,7.975479246953902
